ID1,ID2,species,data,state
ENOG4102NDK,KOG0180,Dm,0.0469124335481,
ENOG4102NDK,KOG0181,Dm,-0.00783007593172,
ENOG4102NDK,KOG0182,Dm,-0.35379769326,
ENOG4102NDK,KOG0183,Dm,0.146367042483,
ENOG4102NDK,KOG0184,Dm,-0.0332474110309,
ENOG4102NDK,KOG0185,Dm,0.0316218325758,
ENOG4102NDK,KOG0213,Dm,0.155933589252,
ENOG4102NDK,KOG0216,Dm,0.2873131009,
ENOG4102NDK,KOG0260,Dm,0.24623772366,
ENOG4102NDK,KOG0262,Dm,0.215365061654,
ENOG4102NDK,KOG0264,Dm,0.895318134422,
ENOG4102NDK,KOG0285,Dm,0.322273071206,
ENOG4102NDK,KOG0333,Dm,0.469588207728,
ENOG4102NDK,KOG0358,Dm,0.140998532498,
ENOG4102NDK,KOG0359,Dm,0.459035671227,
ENOG4102NDK,KOG0361,Dm,-0.022191715663,
ENOG4102NDK,KOG0363,Dm,-0.113814609163,
ENOG4102NDK,KOG0364,Dm,0.482400603855,
ENOG4102NDK,KOG0391,Dm,0.559509151539,
ENOG4102NDK,KOG0466,Dm,0.430311103582,
ENOG4102NDK,KOG0469,Dm,0.46960342321,
ENOG4102NDK,KOG0478,Dm,0.444174263707,
ENOG4102NDK,KOG0480,Dm,0.533827765987,
ENOG4102NDK,KOG0481,Dm,0.326464077732,
ENOG4102NDK,KOG0543,Dm,-0.312858136018,
ENOG4102NDK,KOG0639,Dm,-0.441042626736,
ENOG4102NDK,KOG0649,Dm,0.0150786477066,
ENOG4102NDK,KOG0651,Dm,0.735813605798,
ENOG4102NDK,KOG0652,Dm,0.747181075903,
ENOG4102NDK,KOG0653,Dm,-0.0164375328787,
ENOG4102NDK,KOG0657,Dm,-0.333718658288,
ENOG4102NDK,KOG0658,Dm,-0.498475155524,
ENOG4102NDK,KOG0668,Dm,0.536153604355,
ENOG4102NDK,KOG0674,Dm,0.342524698556,
ENOG4102NDK,KOG0679,Dm,0.885619022516,
ENOG4102NDK,KOG0686,Dm,0.319201413421,
ENOG4102NDK,KOG0687,Dm,0.272173093441,
ENOG4102NDK,KOG0727,Dm,0.64990220069,
ENOG4102NDK,KOG0728,Dm,0.482869993588,
ENOG4102NDK,KOG0729,Dm,0.665137428816,
ENOG4102NDK,KOG0834,Dm,-0.177461012925,
ENOG4102NDK,KOG0841,Dm,0.768469694759,
ENOG4102NDK,KOG0870,Dm,0.53887058054,
ENOG4102NDK,KOG0936,Dm,0.158863443888,
ENOG4102NDK,KOG0952,Dm,0.688374933102,
ENOG4102NDK,KOG0970,Dm,0.120395954766,
ENOG4102NDK,KOG0977,Dm,0.535445796827,
ENOG4102NDK,KOG0985,Dm,0.644492952355,
ENOG4102NDK,KOG0989,Dm,0.60467995492,
ENOG4102NDK,KOG0991,Dm,0.47318793783,
ENOG4102NDK,KOG1036,Dm,-0.181008971117,
ENOG4102NDK,KOG1060,Dm,0.210910563093,
ENOG4102NDK,KOG1105,Dm,0.0417146308673,
ENOG4102NDK,KOG1135,Dm,0.432757557896,
ENOG4102NDK,KOG1137,Dm,0.313079788047,
ENOG4102NDK,KOG1190,Dm,-0.184396822091,
ENOG4102NDK,KOG1242,Dm,0.442645846609,
ENOG4102NDK,KOG1244,Dm,0.200269786539,
ENOG4102NDK,KOG1279,Dm,0.871482817651,
ENOG4102NDK,KOG1342,Dm,0.637203096201,
ENOG4102NDK,KOG1376,Dm,0.939098965186,
ENOG4102NDK,KOG1407,Dm,-0.179368230929,
ENOG4102NDK,KOG1463,Dm,-0.112142299525,
ENOG4102NDK,KOG1475,Dm,0.446709521507,
ENOG4102NDK,KOG1477,Dm,0.400958650556,
ENOG4102NDK,KOG1497,Dm,0.548202765661,
ENOG4102NDK,KOG1498,Dm,0.557038570113,
ENOG4102NDK,KOG1554,Dm,0.267911675779,
ENOG4102NDK,ENOG4106AYG,Mm,-0.215829991621,
ENOG4102NDK,ENOG4108S5H,Mm,-0.138940454081,
ENOG4102NDK,ENOG4108YSI,Mm,-0.0243859486721,
ENOG4102NDK,ENOG410CCHR,Mm,-0.139680430299,
ENOG4102NDK,ENOG410CH8Q,Mm,0.21808117481,
ENOG4102NDK,ENOG410CJBM,Mm,0.372762621746,
ENOG4102NDK,ENOG410CMY9,Mm,0.127586847685,
ENOG4102NDK,ENOG410DVJQ,Mm,0.015633459635,
ENOG4102NDK,ENOG410IF68,Mm,-0.157881407049,
ENOG4102NDK,ENOG410IGPC,Mm,0.719065626066,
ENOG4102NDK,ENOG410IHZM,Mm,0.601771806556,
ENOG4102NDK,ENOG410IJKN,Mm,0.180298176186,
ENOG4102NDK,ENOG410IJNC,Mm,0.13097152704,
ENOG4102NDK,ENOG410IJXM,Mm,-0.0489794056574,
ENOG4102NDK,ENOG410IN2U,Mm,-0.0291240720755,
ENOG4102NDK,ENOG410IP4N,Mm,0.40107327764,
ENOG4102NDK,ENOG410IQ4W,Mm,0.0138261595332,
ENOG4102NDK,ENOG410IR2Y,Mm,0.11627213332,
ENOG4102NDK,ENOG410IR3P,Mm,-0.031135731005,
ENOG4102NDK,ENOG410IREB,Mm,0.453662488914,
ENOG4102NDK,ENOG410IRS7,Mm,0.549248242048,
ENOG4102NDK,ENOG410IRVA,Mm,-0.176795838297,
ENOG4102NDK,ENOG410IUMQ,Mm,0.415219355456,
ENOG4102NDK,ENOG410IUVJ,Mm,-0.123400204893,
ENOG4102NDK,ENOG410IW5Z,Mm,-0.318270727675,
ENOG4102NDK,ENOG410KCT5,Mm,0.27963906552,
ENOG4102NDK,ENOG410KCXR,Mm,0.500532277691,
ENOG4102NDK,ENOG410KD8M,Mm,0.145495958982,
ENOG4102NDK,ENOG410KDIF,Mm,-0.213753948025,
ENOG4102NDK,ENOG410KDN3,Mm,-0.206357314555,
ENOG4102NDK,ENOG410RRWH,Mm,0.0982028653092,
ENOG4102NDK,ENOG410RSYT,Mm,0.0124287237295,
ENOG4102NDK,ENOG410S0BI,Mm,0.744185524893,
ENOG4102NDK,ENOG410VI9I,Mm,0.245795947176,
ENOG4102NDK,ENOG410VIAK,Mm,0.65203710467,
ENOG4102NDK,KOG0005,Mm,-0.176795929042,
ENOG4102NDK,KOG0007,Mm,0.0632638405583,
ENOG4102NDK,KOG0018,Mm,0.0035156661192,
ENOG4102NDK,KOG0020,Mm,0.630406097249,
ENOG4102NDK,KOG0050,Mm,0.627645028158,
ENOG4102NDK,KOG0052,Mm,0.379203713805,
ENOG4102NDK,KOG0067,Mm,-0.341743311715,
ENOG4102NDK,KOG0103,Mm,0.340287848309,
ENOG4102NDK,KOG0107,Mm,0.769400144202,
ENOG4102NDK,KOG0113,Mm,0.702638683348,
ENOG4102NDK,KOG0114,Mm,0.428732190851,
ENOG4102NDK,KOG0115,Mm,-0.289103713236,
ENOG4102NDK,KOG0116,Mm,0.346939973199,
ENOG4102NDK,KOG0122,Mm,0.504467516529,
ENOG4102NDK,KOG0123,Mm,0.125030323497,
ENOG4102NDK,KOG0174,Mm,0.0735133370696,
ENOG4102NDK,KOG0175,Mm,0.073513310559,
ENOG4102NDK,KOG0176,Mm,-0.0187360079327,
ENOG4102NDK,KOG0177,Mm,-0.0541649438219,
ENOG4102NDK,KOG0178,Mm,0.0193587665965,
ENOG4102NDK,KOG0179,Mm,0.0201446832167,
ENOG4102NDK,KOG0181,Mm,0.0142499120202,
ENOG4102NDK,KOG0182,Mm,-0.0581070072635,
ENOG4102NDK,KOG0183,Mm,0.0511237951401,
ENOG4102NDK,KOG0184,Mm,0.0197124412546,
ENOG4102NDK,KOG0185,Mm,-0.0166016004261,
